formula,A,B1,B2,X,tolerance_factor,Eg,irA,rsA,rpA,rdA,XcA,eaA,ipA,hoalA,lualA,irB1,rsB1,rpB1,rdB1,XcB1,eaB1,ipB1,hoalB1,lualB1,irB2,rsB2,rpB2,rdB2,XcB2,eaB2,ipB2,hoalB2,lualB2,irX,rsX,rpX,rdX,XcX,eaX,ipX,hoalX,lualX
Cs2CaF3,Cs,Ca,Ca,F,0.97416857,6.8955,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1,1.69,0.539,0,1,2.37,11.871,7,6,1,1.69,0.539,0,1,2.37,11.871,7,6,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
Cs2CaBr3,Cs,Ca,Ca,Br,0.917327716,4.3924,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1,1.69,0.539,0,1,2.37,11.871,7,6,1,1.69,0.539,0,1,2.37,11.871,7,6,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2CdF3,Cs,Cd,Cd,F,0.859777563,3.2859,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.31,0.184,0.445,0.508,1.69,0,8.9938,10,11,1.31,0.184,0.445,0.508,1.69,0,8.9938,10,11,1.33,0.396,0.36,0,3.98,328,17.42282,4,3
Cs2CdCl3,Cs,Cd,Cd,Cl,0.836289751,1.7462,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.31,0.184,0.445,0.508,1.69,0,8.9938,10,11,1.31,0.184,0.445,0.508,1.69,0,8.9938,10,11,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2CdBr3,Cs,Cd,Cd,Br,0.830363927,0.6968,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,1.31,0.184,0.445,0.508,1.69,0,8.9938,10,11,1.31,0.184,0.445,0.508,1.69,0,8.9938,10,11,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2GeCl3,Cs,Ge,Ge,Cl,1.027253552,3.67,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.73,0.886,1.09,0.261,2.01,119,15.934,9,8,0.73,0.886,1.09,0.261,2.01,119,15.934,9,8,1.81,0.66,0.725,0,3.16,349,12.96764,6,5
Cs2GeI3,Cs,Ge,Ge,I,0.984640159,1.53,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.73,0.886,1.09,0.261,2.01,119,15.934,9,8,0.73,0.886,1.09,0.261,2.01,119,15.934,9,8,2.2,0.876,1.044,0.406,2.66,295.2,10.45126,12,11
Cs2GeBr3,Cs,Ge,Ge,Br,1.009401502,2.32,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.73,0.886,1.09,0.261,2.01,119,15.934,9,8,0.73,0.886,1.09,0.261,2.01,119,15.934,9,8,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2MgBr3,Cs,Mg,Mg,Br,1.013167925,4.0445,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.72,1.279,0.247,0,1.31,0,15.035,5,4,0.72,1.279,0.247,0,1.31,0,15.035,5,4,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
Cs2MnBr3,Cs,Mn,Mn,Br,0.929893849,1.2909,1.88,0.922,2.518,0,0.79,45.5,3.8939,12,13,0.96,1.278,0.392,0.389,1.55,0,15.64,8,7,0.96,1.278,0.392,0.389,1.55,0,15.64,8,7,1.96,0.73,0.851,0.224,2.96,324.6,11.81381,9,8
